model,r2_train,r2_test,mae,rmse,overfit_gap
Ridge,0.7188719289374961,0.7212074846878769,29.15416615893785,62.596100590320596,-0.002335555750380802
Lasso,0.7165362922181375,0.7209617387299248,28.81741515166155,62.62368266213769,-0.004425446511787223
XGBoost,0.9234161972999573,0.7457232475280762,27.481496810913086,59.78057615276261,0.1776929497718811
LightGBM,0.9668783158752696,0.7379266864726299,28.373492150732858,60.69013793807992,0.2289516294026397
EBM,0.7740351033505624,0.7606385055576321,28.459172899880432,58.000784608309694,0.013396597792930232
