product_id,week,sku_sold,week_start
906,2018-01-01/2018-01-07,24,2018-01-01
906,2018-01-08/2018-01-14,36,2018-01-08
906,2018-01-15/2018-01-21,16,2018-01-15
906,2018-01-29/2018-02-04,4,2018-01-29
906,2018-02-12/2018-02-18,12,2018-02-12
906,2018-02-19/2018-02-25,4,2018-02-19
906,2018-02-26/2018-03-04,28,2018-02-26
906,2018-03-05/2018-03-11,16,2018-03-05
906,2018-03-19/2018-03-25,40,2018-03-19
906,2018-03-26/2018-04-01,40,2018-03-26
906,2018-04-02/2018-04-08,24,2018-04-02
906,2018-04-09/2018-04-15,76,2018-04-09
906,2018-04-16/2018-04-22,48,2018-04-16
