year,week,has_holiday,min_days_to_holiday,hol_ascension,hol_christmas,hol_easter,hol_kings_day,hol_liberation_day,hol_new_year,hol_pentecost
2020,33,0,70,0,0,0,0,0,0,0
2020,34,0,77,0,0,0,0,0,0,0
2020,35,0,84,0,0,0,0,0,0,0
2020,36,0,91,0,0,0,0,0,0,0
2020,37,0,98,0,0,0,0,0,0,0
2020,38,0,96,0,0,0,0,0,0,0
2020,39,0,89,0,0,0,0,0,0,0
2020,40,0,82,0,0,0,0,0,0,0
2020,41,0,75,0,0,0,0,0,0,0
2020,42,0,68,0,0,0,0,0,0,0
2020,43,0,61,0,0,0,0,0,0,0
2020,44,0,54,0,0,0,0,0,0,0
2020,45,0,47,0,0,0,0,0,0,0
2020,46,0,40,0,0,0,0,0,0,0
2020,47,0,33,0,0,0,0,0,0,0
2020,48,0,26,0,0,0,0,0,0,0
2020,49,0,19,0,0,0,0,0,0,0
2020,50,0,12,0,0,0,0,0,0,0
2020,51,0,5,0,0,0,0,0,0,0
2020,52,1,0,0,1,0,0,0,0,0
2020,53,1,0,0,0,0,0,0,1,0
2021,1,0,3,0,0,0,0,0,0,0
2021,2,0,10,0,0,0,0,0,0,0
2021,3,0,17,0,0,0,0,0,0,0
2021,4,0,24,0,0,0,0,0,0,0
2021,5,0,31,0,0,0,0,0,0,0
2021,6,0,38,0,0,0,0,0,0,0
2021,7,0,40,0,0,0,0,0,0,0
2021,8,0,33,0,0,0,0,0,0,0
2021,9,0,26,0,0,0,0,0,0,0
2021,10,0,19,0,0,0,0,0,0,0
2021,11,0,12,0,0,0,0,0,0,0
2021,12,0,5,0,0,0,0,0,0,0
2021,13,1,0,0,0,1,0,0,0,0
2021,14,1,0,0,0,1,0,0,0,0
2021,15,0,7,0,0,0,0,0,0,0
2021,16,0,2,0,0,0,0,0,0,0
2021,17,1,0,0,0,0,1,0,0,0
2021,18,0,4,0,0,0,0,0,0,0
2021,19,1,0,1,0,0,0,0,0,0
2021,20,1,0,0,0,0,0,0,0,1
2021,21,1,0,0,0,0,0,0,0,1
2021,22,0,7,0,0,0,0,0,0,0
2021,23,0,14,0,0,0,0,0,0,0
2021,24,0,21,0,0,0,0,0,0,0
2021,25,0,28,0,0,0,0,0,0,0
2021,26,0,35,0,0,0,0,0,0,0
2021,27,0,42,0,0,0,0,0,0,0
2021,28,0,49,0,0,0,0,0,0,0
2021,29,0,56,0,0,0,0,0,0,0
2021,30,0,63,0,0,0,0,0,0,0
2021,31,0,70,0,0,0,0,0,0,0
2021,32,0,77,0,0,0,0,0,0,0
2021,33,0,84,0,0,0,0,0,0,0
2021,34,0,91,0,0,0,0,0,0,0
2021,35,0,98,0,0,0,0,0,0,0
2021,36,0,104,0,0,0,0,0,0,0
2021,37,0,97,0,0,0,0,0,0,0
2021,38,0,90,0,0,0,0,0,0,0
2021,39,0,83,0,0,0,0,0,0,0
2021,40,0,76,0,0,0,0,0,0,0
2021,41,0,69,0,0,0,0,0,0,0
2021,42,0,62,0,0,0,0,0,0,0
2021,43,0,55,0,0,0,0,0,0,0
2021,44,0,48,0,0,0,0,0,0,0
2021,45,0,41,0,0,0,0,0,0,0
2021,46,0,34,0,0,0,0,0,0,0
2021,47,0,27,0,0,0,0,0,0,0
2021,48,0,20,0,0,0,0,0,0,0
2021,49,0,13,0,0,0,0,0,0,0
2021,50,0,6,0,0,0,0,0,0,0
2021,51,1,0,0,1,0,0,0,0,0
2021,52,0,1,0,0,0,0,0,0,0
